prioridad,numero,nombre,estado,descripcion_corta
P1,0105,Diseñar sistema de propuestas y votos usable,todo,Completar 'Diseñar sistema de propuestas y votos usable' para cerrar este frente del roadmap P1.
P1,0132,Verificación de teléfono del usuario para fase 2,todo,Completar 'Verificación de teléfono del usuario para fase 2' para cerrar este frente del roadmap P1.
P2,0026,Diseñar modelo de badges y branding snippets,todo,Completar 'Diseñar modelo de badges y branding snippets' para cerrar este frente del roadmap P2.
P2,0059,Implementar ficha de producto,todo,Completar 'Implementar ficha de producto' para cerrar este frente del roadmap P2.
P2,0062,Implementar favoritos,todo,Completar 'Implementar favoritos' para cerrar este frente del roadmap P2.
P2,0063,Implementar seguir comercio,todo,Completar 'Implementar seguir comercio' para cerrar este frente del roadmap P2.
P2,0073,Implementar ficha pública de producto web,todo,Completar 'Implementar ficha pública de producto web' para cerrar este frente del roadmap P2.
P2,0078,Implementar listado de comercios,todo,Completar 'Implementar listado de comercios' para cerrar este frente del roadmap P2.
P2,0079,Implementar listado de propuestas,todo,Completar 'Implementar listado de propuestas' para cerrar este frente del roadmap P2.
P2,0106,Implementar links compartibles de propuestas,todo,Completar 'Implementar links compartibles de propuestas' para cerrar este frente del roadmap P2.
P2,0107,Definir loop de invitación,todo,Completar 'Definir loop de invitación' para cerrar este frente del roadmap P2.
P2,0109,Definir hipótesis de monetización no invasiva,todo,Completar 'Definir hipótesis de monetización no invasiva' para cerrar este frente del roadmap P2.
P2,0110,Definir criterios para promociones patrocinadas,todo,Completar 'Definir criterios para promociones patrocinadas' para cerrar este frente del roadmap P2.
P2,0111,Diseñar medición base para monetización futura,todo,Completar 'Diseñar medición base para monetización futura' para cerrar este frente del roadmap P2.
P2,0112,Carga masiva de productos,todo,Completar 'Carga masiva de productos' para cerrar este frente del roadmap P2.
P2,0114,Mejor discover geográfico,todo,Completar 'Mejor discover geográfico' para cerrar este frente del roadmap P2.
P2,0115,Verificación avanzada,todo,Completar 'Verificación avanzada' para cerrar este frente del roadmap P2.
P2,0119,Reputación de comercios,todo,Completar 'Reputación de comercios' para cerrar este frente del roadmap P2.
P2,0120,Más automatización operativa,todo,Completar 'Más automatización operativa' para cerrar este frente del roadmap P2.
